ReceiptNumber,Date,Supplier,InvoiceNumber,Reference,Designation,Quantity,UnitPrice,TVA_Percent,Discount_Percent,MontantHT,MontantTVA,MontantTTC,UnitIndex,serial_number
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,006,PISTA VCX BLEUE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN67S1E00586
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,007,PISTA VCX NOIRE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN69S1E00783
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,007,PISTA VCX NOIRE NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN60S1E00784
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,008,PISTA VCX BLANC NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,1/2,LCS4BGN65S1E00697
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,008,PISTA VCX BLANC NOIRE,1,3317.1,19,5,113359.700,21538.343,134898.043,2/2,LCS4BGN65S1E00702
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,050,SPRING ST 124CC VERT PISTACHE,1,3361.3,19,5,113359.700,21538.343,134898.043,1/5,LYFXCJL00R7001140
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,050,SPRING ST 124CC VERT PISTACHE,1,3361.3,19,5,113359.700,21538.343,134898.043,2/5,LYFXCJL08R7001306
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,050,SPRING ST 124CC VERT PISTACHE,1,3361.3,19,5,113359.700,21538.343,134898.043,3/5,LYFXCJL07R7001152
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,050,SPRING ST 124CC VERT PISTACHE,1,3361.3,19,5,113359.700,21538.343,134898.043,4/5,LYFXCJL00R7001137
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,050,SPRING ST 124CC VERT PISTACHE,1,3361.3,19,5,113359.700,21538.343,134898.043,5/5,LYFXCJL04R7001125
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,051,SPRING ST 124CC JAUNE NOIRE,1,3361.3,19,5,113359.700,21538.343,134898.043,1/1,LYFXCJL02R7001429
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,052,SPRING ST 124CC BLEUE CIEL,1,3361.3,19,5,113359.700,21538.343,134898.043,1/4,LYFXCJL04R7001013
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,052,SPRING ST 124CC BLEUE CIEL,1,3361.3,19,5,113359.700,21538.343,134898.043,2/4,LYFXCJL08R7001046
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,052,SPRING ST 124CC BLEUE CIEL,1,3361.3,19,5,113359.700,21538.343,134898.043,3/4,LYFXCJL08R7001015
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,052,SPRING ST 124CC BLEUE CIEL,1,3361.3,19,5,113359.700,21538.343,134898.043,4/4,LYFXCJL04R7001030
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,100,FORZA POWER 107CC BLEUE,1,2344,19,5,113359.700,21538.343,134898.043,1/3,LC4XCHL02R0D03592
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,100,FORZA POWER 107CC BLEUE,1,2344,19,5,113359.700,21538.343,134898.043,2/3,LC4XCHL06R0D03580
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,100,FORZA POWER 107CC BLEUE,1,2344,19,5,113359.700,21538.343,134898.043,3/3,LC4XCHL08R0D03564
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,101,FORZA POWER 107CC GRIS,1,2344,19,5,113359.700,21538.343,134898.043,1/3,LC4XCHL02R0D03351
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,101,FORZA POWER 107CC GRIS,1,2344,19,5,113359.700,21538.343,134898.043,2/3,LC4XCHL01R0D03339
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,101,FORZA POWER 107CC GRIS,1,2344,19,5,113359.700,21538.343,134898.043,3/3,LC4XCHL02R0D03348
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,102,FORZA POWER 107CC NOIRE,1,2344,19,5,113359.700,21538.343,134898.043,1/4,LC4XCHL03R0D03665
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,102,FORZA POWER 107CC NOIRE,1,2344,19,5,113359.700,21538.343,134898.043,2/4,LC4XCHL05R0D03604
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,102,FORZA POWER 107CC NOIRE,1,2344,19,5,113359.700,21538.343,134898.043,3/4,LC4XCHL0XR0D03646
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,102,FORZA POWER 107CC NOIRE,1,2344,19,5,113359.700,21538.343,134898.043,4/4,LC4XCHL00R0D03414
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,150,GHOST V7 124CC VERT NOIRE,1,4599.7,19,5,113359.700,21538.343,134898.043,1/1,LEHTCJ014RRM00003
25/000001,14/06/2025,K TRADING GLOBAL,25/000001,151,GHOST V7 124CC BLEUE JAUNE,1,4599.7,19,5,113359.700,21538.343,134898.043,1/1,LEHTCJ015RRM00155
25/000002,25/06/2025,K TRADING GLOBAL,25/000002,151,GHOST V7 124CC BLEUE JAUNE,1,4599.736,19,5,4369.749,830.252,5200.002,1/1,LEHTCJ015RRM00141
25/000003,12/07/2025,K TRADING GLOBAL,25/000003,152,GHOST V7 124CC NOIR,1,4599.735,19,5,4369.748,830.252,5200.000,1/1,LEHTCJ011RRM00413
25/000004,19/07/2025,K TRADING GLOBAL,25/000004,151,GHOST V7 124CC BLEUE JAUNE,1,4599.735,19,5,4369.748,830.252,5200.000,1/1,LEHTCJ016RRM00472
25/000005,17/07/2025,K TRADING GLOBAL,25/000005,500,HUILE MOTOS 10W40,36,11.756,19,0,837.648,159.153,996.801,, 
25/000005,17/07/2025,K TRADING GLOBAL,25/000005,501,HUILE MOTOS 20W50,36,11.512,19,0,837.648,159.153,996.801,,
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,100,FORZA POWER 107CC BLEUE,1,2344.652,19,5,31264.520,5940.259,37204.779,1/1,LC4XCHL02S0D00083
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,101,FORZA POWER 107CC GRIS,1,2344.652,19,5,31264.520,5940.259,37204.779,1/1,LC4XCHL03S0D00058
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,102,FORZA POWER 107CC NOIRE,1,2344.652,19,5,31264.520,5940.259,37204.779,1/1,LC4XCHL0XS0D00171
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,103,FORZA POWER 107CC ROUGE,1,2344.652,19,5,31264.520,5940.259,37204.779,1/1,LC4XCHL00S0D00003
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,104,FORZA POWER 124CC BLEU,1,2433.052,19,5,31264.520,5940.259,37204.779,1/1,LC4XCJL00S0D00686
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,105,FORZA POWER 124CC GRIS,1,2433.052,19,5,31264.520,5940.259,37204.779,1/1,LC4XCJL00S0D00641
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,106,FORZA POWER 124CC NOIRE,1,2433.052,19,5,31264.520,5940.259,37204.779,1/1,LC4XCJL03S0D00732
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,107,FORZA POWER 124CC ROUGE,1,2433.052,19,5,31264.520,5940.259,37204.779,1/1,LC4XCJL06S0D00627
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,150,GHOST V7 124CC VERT NOIRE,1,4599.735,19,5,31264.520,5940.259,37204.779,1/1,LEHTCJ012RRM00064
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,151,GHOST V7 124CC BLEUE JAUNE,1,4599.735,19,5,31264.520,5940.259,37204.779,1/1,LEHTCJ014RRM00471
25/000006,24/07/2025,K TRADING GLOBAL,25/000006,153,GHOST V7 124CC GRIS BLEU,1,4599.735,19,5,31264.520,5940.259,37204.779,1/1,LEHTCJ014RRM00311
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,050,SPRING ST 124CC VERT PISTACHE,1,3361.6,19,5,41855.214,7952.491,49807.705,1/2,LYFXCJL08R7001337
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,050,SPRING ST 124CC VERT PISTACHE,1,3361.6,19,5,41855.214,7952.491,49807.705,2/2,LYFXCJL09R7001170
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,051,SPRING ST 124CC JAUNE NOIRE,1,3361.6,19,5,41855.214,7952.491,49807.705,1/2,LYFXCJL01R7001082
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,051,SPRING ST 124CC JAUNE NOIRE,1,3361.6,19,5,41855.214,7952.491,49807.705,2/2,LYFXCJL01R7001079
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,052,SPRING ST 124CC BLEUE CIEL,1,3361.6,19,5,41855.214,7952.491,49807.705,1/2,LYFXCJL05R7001229
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,052,SPRING ST 124CC BLEUE CIEL,1,3361.6,19,5,41855.214,7952.491,49807.705,2/2,LYFXCJL04R7001223
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,100,FORZA POWER 107CC BLEUE,1,2344.652,19,5,41855.214,7952.491,49807.705,1/1,LC4XCHL06S0D00085
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,101,FORZA POWER 107CC GRIS,1,2344.652,19,5,41855.214,7952.491,49807.705,1/1,LC4XCHL08S0D00041
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,102,FORZA POWER 107CC NOIRE,1,2344.652,19,5,41855.214,7952.491,49807.705,1/3,LC4XCHL04S0D00117
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,102,FORZA POWER 107CC NOIRE,1,2344.652,19,5,41855.214,7952.491,49807.705,2/3,LC4XCHL06S0D00197
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,102,FORZA POWER 107CC NOIRE,1,2344.652,19,5,41855.214,7952.491,49807.705,3/3,LC4XCHL09S0D00176
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,104,FORZA POWER 124CC BLEU,1,2433.052,19,5,41855.214,7952.491,49807.705,1/1,LC4XCJL01S0D00681
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,105,FORZA POWER 124CC GRIS,1,2433.052,19,5,41855.214,7952.491,49807.705,1/1,LC4XCJL02S0D00673
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,106,FORZA POWER 124CC NOIRE,1,2433.052,19,5,41855.214,7952.491,49807.705,1/2,LC4XCJL08S0D00712
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,106,FORZA POWER 124CC NOIRE,1,2433.052,19,5,41855.214,7952.491,49807.705,2/2,LC4XCJL07S0D00779
25/000007,18/08/2025,K TRADING GLOBAL,25/000007,107,FORZA POWER 124CC ROUGE,1,2433.052,19,5,41855.214,7952.491,49807.705,1/1,LC4XCJL07S0D00622
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,009,PISTA HR+ VERT JAUNE,1,3715.171,19,5,17647.062,3352.942,21000.004,1/1,LCS4BJN88S1700083
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,010,PISTA HR+ NOIRE MARRON,1,3715.171,19,5,17647.062,3352.942,21000.004,1/1,LCS4BJN84S1700209
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,011,PISTA HR+ GRIS VERT,1,3715.171,19,5,17647.062,3352.942,21000.004,1/1,LCS4BJN81S1700037
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,012,PISTA HR+ NOIRE BLEU,1,3715.171,19,5,17647.062,3352.942,21000.004,1/1,LCS4BJN87S1700138
25/000008,23/09/2025,K TRADING GLOBAL,25/000008,013,PISTA HR+ CARBONE 124 cc,1,3715.171,19,5,17647.062,3352.942,21000.004,1/1,LCS4BJN88S1700259
25/000009,23/09/2025,K TRADING GLOBAL,25/000009,052,SPRING ST 124CC BLEUE CIEL,1,3361.625,19,5,6387.088,1213.547,7600.634,1/2,LYFXCJL03R7001360
25/000009,23/09/2025,K TRADING GLOBAL,25/000009,052,SPRING ST 124CC BLEUE CIEL,1,3361.625,19,5,6387.088,1213.547,7600.634,2/2,LYFXCJL04R7001307
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,051,SPRING ST 124CC JAUNE NOIRE,1,3361.625,19,5,32774.668,6227.187,39001.854,1/1,LYFXCJL08R7001435
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,014,PISTA HR+ VERT MARRON 124 cc,1,3538.305,19,5,32774.668,6227.187,39001.854,1/2,LCS4BGN67S1700366
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,014,PISTA HR+ VERT MARRON 124 cc,1,3538.305,19,5,32774.668,6227.187,39001.854,2/2,LCS4BGN60S1700418
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,015,PISTA HR+ NOIR ROUGE 124 cc,1,3538.305,19,5,32774.668,6227.187,39001.854,1/1,LCS4BGN64S1700549
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,016,PISTA HR NOIR / GRIS,1,3538.305,19,5,32774.668,6227.187,39001.854,1/1,LCS4BGN69S1700479
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,017,PISTA HR NOIR / MARRON,1,3538.305,19,5,32774.668,6227.187,39001.854,1/1,LCS4BGN6XS1700491
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,053,SPRING ST 124CC NOIR,1,3361.625,19,5,32774.668,6227.187,39001.854,1/2,LYFXCJL0XR7000657
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,053,SPRING ST 124CC NOIR,1,3361.625,19,5,32774.668,6227.187,39001.854,2/2,LYFXCJL09R7000956
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,32774.668,6227.187,39001.854,1/1,LYFXCJL03R7000595
25/000010,21/10/2025,K TRADING GLOBAL,25/000010,055,SPRING ST 124CC VERT,1,3361.625,19,5,32774.668,6227.187,39001.854,1/1,LYFXCJL02R7000507
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,1/9,LYFXCJL04R7000783
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,2/9,LYFXCJL08R7000768
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,3/9,LYFXCJL05R7000775
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,4/9,LYFXCJL00R7000750
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,5/9,LYFXCJL0XR7000769
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,6/9,LYFXCJL08R7000771
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,7/9,LYFXCJL02R7000751
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,8/9,LYFXCJL06R7000784
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,054,SPRING ST 124CC BLEU FONCE,1,3361.625,19,5,57483.788,10921.920,68405.707,9/9,LYFXCJL08R7000785
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,1/9,LYFXCJL05H7000677
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,2/9,LYFXCJL01R7000689
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,3/9,LYFXCJL04R7000881
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,4/9,LYFXCJL00R7000554
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,5/9,LYFXCJL08R7000723
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,6/9,LYFXCJL08R7000690
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,7/9,LYFXCJL09R7000701
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,8/9,LYFXCJL02R7000703
25/000011,13/11/2025,K TRADING GLOBAL,25/000011,055,SPRING ST 124CC VERT,1,3361.625,19,5,57483.788,10921.920,68405.707,9/9,LYFXCJL0XR7000724
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,009,PISTA HR+ VERT JAUNE,1,3715.171,19,5,28235.300,5364.707,33600.007,1/2,LCS4BJN84S1700663
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,009,PISTA HR+ VERT JAUNE,1,3715.171,19,5,28235.300,5364.707,33600.007,2/2,LCS4BJN88S1700665
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,010,PISTA HR+ NOIRE MARRON,1,3715.171,19,5,28235.300,5364.707,33600.007,1/1,LCS4BJN8XS1700781
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,011,PISTA HR+ GRIS VERT,1,3715.171,19,5,28235.300,5364.707,33600.007,1/2,LCS4BJN84S1700596
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,011,PISTA HR+ GRIS VERT,1,3715.171,19,5,28235.300,5364.707,33600.007,2/2,LCS4BJN87S1700611
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,012,PISTA HR+ NOIRE BLEU,1,3715.171,19,5,28235.300,5364.707,33600.007,1/2,LCS4BJN82S1700709
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,012,PISTA HR+ NOIRE BLEU,1,3715.171,19,5,28235.300,5364.707,33600.007,2/2,LCS4BJN80S1700708
25/000012,14/11/2025,K TRADING GLOBAL,25/000012,013,PISTA HR+ CARBONE 124 cc,1,3715.171,19,5,28235.300,5364.707,33600.007,1/1,LCS4BJN84S1700792
25/000013,13/11/2025,SIMCC,25/000013,902,CASQUE LS2 AIRFLOW MATT-Taille M,1,237.864,19,0,3006.756,571.284,3578.040,1/1,
25/000013,13/11/2025,SIMCC,25/000013,903,CASQUE LS2 AIRFLOW MATT-Taille L,1,237.864,19,0,3006.756,571.284,3578.040,1/1,
25/000013,13/11/2025,SIMCC,25/000013,905,CASQUE LS2 AIRFLOW MATT-Taille XXL,1,237.864,19,0,3006.756,571.284,3578.040,1/1,
25/000013,13/11/2025,SIMCC,25/000013,910,CASQUE LS2 AIRFLOW GLOSS -Taille M,1,237.864,19,0,3006.756,571.284,3578.040,1/1,
25/000013,13/11/2025,SIMCC,25/000013,911,CASQUE LS2 AIRFLOW GLOSS -Taille L,2,237.864,19,0,3006.756,571.284,3578.040,1/2,
25/000013,13/11/2025,SIMCC,25/000013,911,CASQUE LS2 AIRFLOW GLOSS -Taille L,1,237.864,19,0,3006.756,571.284,3578.040,2/2,
25/000013,13/11/2025,SIMCC,25/000013,920,CASQUE MT HELMETS MATT-Taille L,4,175.508,19,0,3006.756,571.284,3578.040,1/4,
25/000013,13/11/2025,SIMCC,25/000013,920,CASQUE MT HELMETS MATT-Taille L,1,175.508,19,0,3006.756,571.284,3578.040,2/4,
25/000013,13/11/2025,SIMCC,25/000013,920,CASQUE MT HELMETS MATT-Taille L,1,175.508,19,0,3006.756,571.284,3578.040,3/4,
25/000013,13/11/2025,SIMCC,25/000013,920,CASQUE MT HELMETS MATT-Taille L,1,175.508,19,0,3006.756,571.284,3578.040,4/4,
25/000013,13/11/2025,SIMCC,25/000013,927,CASQUE MT HELMETS GLOSS -Taille L,3,175.508,19,0,3006.756,571.284,3578.040,1/3,
25/000013,13/11/2025,SIMCC,25/000013,927,CASQUE MT HELMETS GLOSS -Taille L,1,175.508,19,0,3006.756,571.284,3578.040,2/3,
25/000013,13/11/2025,SIMCC,25/000013,927,CASQUE MT HELMETS GLOSS -Taille L,1,175.508,19,0,3006.756,571.284,3578.040,3/3,
25/000013,13/11/2025,SIMCC,25/000013,928,CASQUE MT HELMETS GLOSS -Taille XL,2,175.508,19,0,3006.756,571.284,3578.040,1/2,
25/000013,13/11/2025,SIMCC,25/000013,928,CASQUE MT HELMETS GLOSS -Taille XL,1,175.508,19,0,3006.756,571.284,3578.040,2/2,
25/000014,25/11/2025,K TRADING GLOBAL,25/000014,102,FORZA POWER 107CC NOIRE,1,2370.633,19,5,2252.101,427.899,2680.001,1/1,LC4XCHL03S0D01355
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,100,FORZA POWER 107CC BLEUE,1,2370.633,19,5,45882.359,8717.648,54600.007,1/2,LC4XCHL09S0D01294
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,100,FORZA POWER 107CC BLEUE,1,2370.633,19,5,45882.359,8717.648,54600.007,2/2,LC4XCHL02S0D01301
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,101,FORZA POWER 107CC GRIS,1,2370.633,19,5,45882.359,8717.648,54600.007,1/2,LC4XCHL00S0D01264
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,101,FORZA POWER 107CC GRIS,1,2370.633,19,5,45882.359,8717.648,54600.007,2/2,LC4XCHL02S0D01248
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,102,FORZA POWER 107CC NOIRE,1,2370.633,19,5,45882.359,8717.648,54600.007,1/5,LC4XCHL00S0D01345
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,102,FORZA POWER 107CC NOIRE,1,2370.633,19,5,45882.359,8717.648,54600.007,2/5,LC4XCHL07S0D01374
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,102,FORZA POWER 107CC NOIRE,1,2370.633,19,5,45882.359,8717.648,54600.007,3/5,LC4XCHL06S0D01365
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,102,FORZA POWER 107CC NOIRE,1,2370.633,19,5,45882.359,8717.648,54600.007,4/5,LC4XCHL07S0D01357
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,102,FORZA POWER 107CC NOIRE,1,2370.633,19,5,45882.359,8717.648,54600.007,5/5,LC4XCHL04S0001364
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,103,FORZA POWER 107CC ROUGE,1,2370.633,19,5,45882.359,8717.648,54600.007,1/1,LC4XCHL01S0D01239
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,104,FORZA POWER 124CC BLEU,1,2459.089,19,5,45882.359,8717.648,54600.007,1/3,LCAXCJL0XS0D01506
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,104,FORZA POWER 124CC BLEU,1,2459.089,19,5,45882.359,8717.648,54600.007,2/3,LC4XCJL01S0D01491
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,104,FORZA POWER 124CC BLEU,1,2459.089,19,5,45882.359,8717.648,54600.007,3/3,LC4XCJL08S0D01486
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,105,FORZA POWER 124CC GRIS,1,2459.089,19,5,45882.359,8717.648,54600.007,1/2,LC4XCJL00S0D01479
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,105,FORZA POWER 124CC GRIS,1,2459.089,19,5,45882.359,8717.648,54600.007,2/2,LC4XCJL06S0D01485
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,106,FORZA POWER 124CC NOIRE,1,2459.089,19,5,45882.359,8717.648,54600.007,1/4,LC4XCJL08S0D01729
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,106,FORZA POWER 124CC NOIRE,1,2459.089,19,5,45882.359,8717.648,54600.007,2/4,LC4XCJL07S0D01768
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,106,FORZA POWER 124CC NOIRE,1,2459.089,19,5,45882.359,8717.648,54600.007,3/4,LC4XCJL07S0D01821
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,106,FORZA POWER 124CC NOIRE,1,2459.089,19,5,45882.359,8717.648,54600.007,4/4,LC4XCJL0XS0D01733
25/000015,29/11/2025,K TRADING GLOBAL,25/000015,107,FORZA POWER 124CC ROUGE,1,2459.089,19,5,45882.359,8717.648,54600.007,1/1,LC4XCJL01S0D01426
25/000016,29/11/2025,K TRADING GLOBAL,25/000016,500,HUILE MOTOS 10W40,24,11.756,19,0,558.432,106.102,664.534,, 
25/000016,29/11/2025,K TRADING GLOBAL,25/000016,501,HUILE MOTOS 20W50,24,11.512,19,0,558.432,106.102,664.534,,
26/000001,13/01/2026,K TRADING GLOBAL,,016,PISTA HR NOIR / GRIS,1,3538.305,19,5,10084.169,1915.992,12000.161,1/1,LCS4BGN63S1000585
26/000001,13/01/2026,K TRADING GLOBAL,,018,PISTA HR VERT JAUNE 107 CC,1,3538.305,19,5,10084.169,1915.992,12000.161,1/1,LCS4BGN66S1000824
