ReceiptNumber,Date,Supplier,InvoiceNumber,Reference,Designation,Quantity,UnitPrice,TVA_Percent,Discount_Percent,MontantHT,MontantTVA,MontantTTC
26/000002,25/02/2026,K TRADING GLOBAL,,014,"PISTA HR+ VERT MARRON 124 cc",1,3715.17,19,5,24705.884,4694.118,29400.002
26/000002,25/02/2026,K TRADING GLOBAL,,015,"PISTA HR+ NOIR ROUGE 124 cc",2,3715.171,19,5,24705.884,4694.118,29400.002
26/000002,25/02/2026,K TRADING GLOBAL,,020,"PISTA HR+ BLEU BEIGE 124 cc",2,3715.171,19,5,24705.884,4694.118,29400.002
26/000002,25/02/2026,K TRADING GLOBAL,,021,"PISTA HR+ ROUGE NOIRE 124 cc",1,3715.17,19,5,24705.884,4694.118,29400.002
26/000002,25/02/2026,K TRADING GLOBAL,,022,"PISTA HR+ CARBONE ROUGE 124 cc",1,3715.17,19,5,24705.884,4694.118,29400.002
26/000003,11/03/2026,K TRADING GLOBAL,,071,"BLASTER VERT 125cc",1,5440.3652,19,5,15505.041,2945.958,18450.999
26/000003,11/03/2026,K TRADING GLOBAL,,072,"BLASTER GRIS 125cc",1,5440.3652,19,5,15505.041,2945.958,18450.999
26/000003,11/03/2026,K TRADING GLOBAL,,073,"BLASTER NOIR 125cc",1,5440.3652,19,5,15505.041,2945.958,18450.999
26/000004,20/03/2026,K TRADING GLOBAL,,500,"HUILE MOTOS 10W40",24,11.756,19,0,420.288,79.855,500.143
26/000004,20/03/2026,K TRADING GLOBAL,,501,"HUILE MOTOS 20W50",12,11.512,19,0,420.288,79.855,500.143
26/000005,15/04/2026,K TRADING GLOBAL,,152,"GHOST V7 124CC NOIR",2,4953.82,19,5,26890.776,5109.247,32000.023
26/000005,15/04/2026,K TRADING GLOBAL,,154,"GHOST V7 124CC CARBON",2,4599.61,19,5,26890.776,5109.247,32000.023
26/000005,15/04/2026,K TRADING GLOBAL,,157,"GHOST V7 124CC ROUGE",1,4599.61,19,5,26890.776,5109.247,32000.023
26/000005,15/04/2026,K TRADING GLOBAL,,156,"GHOST V7 124CC TURQUOISE",1,4599.61,19,5,26890.776,5109.247,32000.023
26/000006,22/04/2026,K TRADING GLOBAL,,013,"PISTA HR+ CARBONE 124 cc",1,3715.348,19,5,17647.900,3353.101,21001.001
26/000006,22/04/2026,K TRADING GLOBAL,,014,"PISTA HR+ VERT MARRON 124 cc",1,3715.348,19,5,17647.900,3353.101,21001.001
26/000006,22/04/2026,K TRADING GLOBAL,,015,"PISTA HR+ NOIR ROUGE 124 cc",1,3715.347,19,5,17647.900,3353.101,21001.001
26/000006,22/04/2026,K TRADING GLOBAL,,020,"PISTA HR+ BLEU BEIGE 124 cc",1,3715.347,19,5,17647.900,3353.101,21001.001
26/000006,22/04/2026,K TRADING GLOBAL,,021,"PISTA HR+ ROUGE NOIRE 124 cc",1,3715.347,19,5,17647.900,3353.101,21001.001
